工件,作业标识号,生产物流号,合作序号,开始时间,结束时间,所选机器,机器号,续作机器,锁定机器,机器容量,切换时间,深浅色,色号,机器常染颜色,能否荧光,轴型,优先级,生产顺序,开始时间,结束时间,锁定顺序,合作订单,合作生产物流号,合作染程用时
54,2213263,202404300124,8777606,1785.0,2170.0,74,312,"['312', '309']",,240,60.0,浅色,042100CAJ-13B74818,浅色,False,L,42.0,4,1785.0,2170.0,,,,
33,4628207,202405040060,8778446,0.0,180.0,75,1003,['1003'],,240,120.0,增白,042120CJS-23W650706,增白,False,纱架,74.7,1,0.0,480.0,,"['4628207', '4628208']","['202405040060', '202405040060']","[180.0, 180.0]"
33,4628208,202405040060,8778446,300.0,480.0,75,1003,['1003'],,240,120.0,增白,042120CJS-23W650706,增白,False,纱架,74.7,2,0.0,480.0,,"['4628207', '4628208']","['202405040060', '202405040060']","[180.0, 180.0]"
47,2213459,202404180186,8767113,600.0,770.0,75,1003,[],,240,60.0,增白,682100CAJX-18W10022,增白,False,Y,47.7,3,600.0,770.0,,,,
53,2213396,202404110298,8761146,830.0,1440.0,75,1003,[],,240,60.0,增白,801050J-22W10418,增白,False,M,47.7,4,830.0,1440.0,,,,
63,2213058,202404030035,8752854,1500.0,2110.0,75,1003,[],,240,60.0,增白,041030CJ-24W400216,增白,False,L,47.7,5,1500.0,2110.0,,,,
66,2213618,202404230155,8772134,2170.0,2310.0,75,1003,[],,240,60.0,增白,041050CAJ-05W0004,增白,False,M,47.7,6,2170.0,2310.0,,,,
76,2213264,202403290288,8749508,2370.0,2510.0,75,1003,[],,240,60.0,增白,041060CHJ-24W400778,增白,False,M,47.7,7,2370.0,2510.0,,,,
78,2213126,202403290292,8749512,2570.0,2710.0,75,1003,[],,240,60.0,增白,041060CHJ-24W400779,增白,False,M,47.7,8,2570.0,2710.0,,,,
52,2213164,202404200064,8772488,2770.0,2910.0,75,1003,[],,240,60.0,增白,042080HJ-05W0013,增白,False,M,47.4,9,2770.0,2910.0,,,,
60,2212740,202404240157,8772352,2970.0,3140.0,75,1003,[],,240,60.0,增白,031045CJ-24W10548,增白,False,Y,47.4,10,2970.0,3140.0,,,,
67,2213752,202404190219,8768054,3200.0,3810.0,75,1003,[],,240,60.0,增白,042080CAJ-05W0011,增白,False,M,47.4,11,3200.0,3810.0,,,,
68,2213555,202404270207,8776176,3870.0,4010.0,75,1003,[],,240,60.0,增白,041050CHJ-05W0004,增白,False,M,47.4,12,3870.0,4010.0,,,,
70,2212741,202404240157,8772351,4070.0,4455.0,75,1003,[],,240,60.0,增白,031045CJ-24W10548,增白,False,Y,47.4,13,4070.0,4455.0,,,,
