工件,作业标识号,生产物流号,合作序号,开始时间,结束时间,所选机器,机器号,续作机器,锁定机器,机器容量,切换时间,深浅色,色号,机器常染颜色1,机器常染颜色2,机器上一状态,能否荧光,轴型,优先级,生产顺序,开始时间,结束时间,锁定顺序,合作订单,合作生产物流号,合作染程用时
105,4638897,202404050075,8763490,0.0,425.0,17,816,[],,24,120.0,浅色,6M2050CJX-23H10103,浅色,['浅色'],,True,纱架,166.35,1,0.0,425.0,,,,
83,4638887,202405200006,8798446,545.0,1105.0,17,816,[],,24,120.0,浅色,042100CAJ-24Y400265,浅色,['浅色'],,True,纱架,63.25,2,545.0,1105.0,,,,
191,4639151,202405170099,8800381,0.0,505.0,18,1013,[],,24,120.0,深色,122064CAJRX-23K10158,深色,['深色'],深色,True,纱架,64.75,1,0.0,505.0,,,,
31,2216556,202405090172,8784121,467.65988616666664,867.6598861666666,20,209,[],,40,120.0,浅色,5C4100CJR-24Z10269,浅色,['浅色'],浅色,False,S,69.25,1,467.65988616666664,867.6598861666666,,,,
42,2217006,202405230063,8797593,987.6598861666666,1412.6598861666666,20,209,[],,40,120.0,浅浅,041020L-24B53540,浅色,['浅色'],浅色,False,L,63.25,2,987.6598861666666,1412.6598861666666,,,,
81,2217012,202405230067,8797609,1532.6598861666666,1957.6598861666666,20,209,[],,40,120.0,浅色,041020L-24Z44342,浅色,['浅色'],浅色,False,L,63.25,3,1532.6598861666666,1957.6598861666666,,,,
149,4632829,202405080199,8781915,0.0,425.0,21,210,[],,40,120.0,浅浅,041060CAJ-17M10778,浅色,['浅色'],浅浅,False,纱架,157.0,1,0.0,425.0,,,,
204,4638397,202405200021,8794685,545.0,970.0,21,210,[],,40,120.0,浅浅,041050CAJ-24Z42928,浅色,['浅色'],浅浅,False,纱架,156.0,2,545.0,970.0,,,,
17,2217024,202405230068,8797631,1090.0,1515.0,21,210,[],,40,120.0,浅色,041020L-24B53545,浅色,['浅色'],浅浅,False,L,63.25,3,1090.0,1515.0,,,,
34,2216752,202405080016,8783446,0.0,385.0,22,211,[],,40,120.0,浅浅,042100CAJ-24B51120,浅色,['浅色'],浅浅,False,S,162.75,1,0.0,385.0,,,,
53,2216749,202405220222,8796425,505.0,890.0,22,211,[],,40,120.0,浅浅,042080CAJ-16B147224,浅色,['浅色'],浅浅,False,S,152.5,2,505.0,890.0,,,,
158,4639186,202405250251,8800173,1010.0,1135.0,22,211,[],,40,120.0,浅浅,452120CKR-24Z10233,浅色,['浅色'],浅浅,True,纱架,64.0,3,1010.0,1135.0,,,,
131,4635529,202404200219,8769497,158.49323613333334,518.4932361333333,23,212,[],,40,120.0,深色,1G1030CJ-24P10003,深色,['深色'],深色,True,纱架,156.0,1,158.49323613333334,518.4932361333333,,,,
203,4638298,202403230195,8741737,206.39321950000001,501.3932195,24,213,[],,40,120.0,中色,0Q2050CJX-24B10010,深色,['深色'],深色,False,纱架,164.85,1,206.39321950000001,501.3932195,,,,
23,2216653,202405070061,8782075,0.0,560.0,25,301,[],,40,120.0,深色,042120CJR-24B220195,深色,['深色'],深色,True,M,62.5,1,0.0,560.0,,,,
36,2216605,202405150288,8791905,177.65988616666667,347.65988616666664,26,711,[],,40,120.0,增白,091040CJ-24W11172,增白,['增白'],浅色,False,S,159.75,1,177.65988616666667,347.65988616666664,,,,
85,2216604,202405150288,8791903,467.65988616666664,637.6598861666666,26,711,[],,40,120.0,增白,021045CJ-05W0041,增白,['增白'],浅色,False,S,159.75,2,467.65988616666664,637.6598861666666,,,,
101,2215713,202404050146,8756464,757.6598861666666,1137.6598861666666,26,711,[],,40,120.0,增白,842050CJ-23W10031,增白,['增白'],浅色,False,S,159.0,3,757.6598861666666,1137.6598861666666,,,,
