工件,作业标识号,生产物流号,合作序号,开始时间,结束时间,所选机器,机器号,续作机器,锁定机器,机器容量,切换时间,深浅色,色号,机器常染颜色1,机器常染颜色2,机器上一状态,能否荧光,轴型,优先级,生产顺序,开始时间,结束时间,锁定顺序,合作订单,合作生产物流号,合作染程用时
107,4633257,202405080016,8783455,0.0,170.0,0,514,[],,3,120.0,增白,451100CAK-24W10866,深色,['深色'],,False,纱架,114.75,1,0.0,170.0,,,,
215,4637692,202405190106,8794725,290.0,715.0,0,514,[],,3,120.0,深色,042120CAJ-24K400275,深色,['深色'],,False,纱架,107.25,2,290.0,715.0,,,,
196,4637783,202405240107,8797918,0.0,425.0,1,515,[],,3,120.0,浅浅,041050CAJ-24H42416,深色,['深色'],,True,纱架,107.25,1,0.0,425.0,,,,
81,4635369,202405080129,8781628,545.0,1005.0,1,515,[],,3,120.0,浅浅,111050CJ-23Z10018,深色,['深色'],,True,纱架,103.5,2,545.0,1005.0,,,,
71,4634552, ,0,1125.0,1590.0,1,515,[],,3,120.0,浅浅,041030CA-23Z220061,深色,['深色'],,False,纱架,97.5,3,1125.0,1590.0,,,,
251,4637732,202405240067,8797579,0.0,425.0,2,905,[],,3,120.0,浅浅,042120CAJ-24G220062,浅色,['浅色'],浅浅,False,纱架,108.75,1,0.0,425.0,,,,
123,4634981,202405170141,8792870,545.0,970.0,2,905,[],,3,120.0,浅色,041050CAJ-24H40801,浅色,['浅色'],浅浅,True,纱架,108.0,2,545.0,970.0,,,,
261,4637548,202404180065,8766491,0.0,450.0,4,907,[],,6,120.0,中色,092096CJR-24H10233,浅色,['浅色'],深色,True,纱架,117.75,1,0.0,450.0,,,,
238,4637694,202405180166,8793093,570.0,995.0,4,907,[],,6,120.0,深色,042100CAJ-24K220071,浅色,['浅色'],深色,True,纱架,108.0,2,570.0,995.0,,,,
188,4637703,202405200020,8794678,1115.0,1540.0,4,907,[],,6,120.0,深色,042120CAJ-24K400273,浅色,['浅色'],深色,False,纱架,107.25,3,1115.0,1540.0,,,,
