工件,作业标识号,生产物流号,合作序号,开始时间,结束时间,所选机器,机器号,续作机器,锁定机器,机器容量,切换时间,深浅色,色号,机器常染颜色1,机器常染颜色2,机器上一状态,能否荧光,轴型,优先级,生产顺序,开始时间,结束时间,锁定顺序,合作订单,合作生产物流号,合作染程用时
15,4641027,202405110220,8787229,0.0,380.0,0,514,[],,3,120.0,深色,901040CJX-24B10003,深色,['深色'],,False,纱架,164.85,1,0.0,380.0,,,,
37,4641032,202405060210,8788318,0.0,125.0,1,515,[],,3,120.0,深色,1E4100CKR-24B10133,深色,['深色'],,True,纱架,167.85,1,0.0,125.0,,,,
33,4641034,202405080026,8781025,0.0,125.0,5,908,[],,6,120.0,深色,1E2100CAKR-24Z10033,深色,['深色'],浅色,False,纱架,167.85,1,0.0,125.0,,,,
30,4640699,202405310241,8802972,245.0,815.0,5,908,[],,6,120.0,深色,042120CAJ-24B220220,深色,['深色'],浅色,False,纱架,154.5,2,245.0,815.0,,,,
16,2217416,202405290222,8800975,0.0,580.0,6,815,[],,10,120.0,深色,042080CHJ-23B55803,深色,['深色'],,False,S,156.75,1,0.0,580.0,,,,
46,4639712,202405290107,8801006,0.0,425.0,7,509,[],,10,120.0,浅浅,042100CAJ-24H400498,深色,['深色'],浅浅,False,纱架,155.25,1,0.0,425.0,,,,
9,2217507,202405300135,8802464,545.0,1050.0,7,509,[],,10,120.0,深色,042080CAJ-24K400181,深色,['深色'],浅浅,False,S,114.35,2,545.0,1050.0,,,,
36,4640695,202405310241,8802973,0.0,160.0,8,603,[],,10,120.0,浅浅,042120CAJ-24W220203,深色,['深色'],中色,False,纱架,154.5,1,0.0,160.0,,,,
8,4641009,202405180237,8793998,0.0,465.0,11,115,[],,24,120.0,浅色,041030CAZ-24B44992,浅色,['浅色'],浅浅,False,纱架,156.0,1,0.0,465.0,,,,
41,4639702,202405290106,8800999,0.0,160.0,12,116,[],,24,120.0,浅浅,042100CAJ-24W401291,浅色,['浅色'],浅浅,False,纱架,156.75,1,0.0,160.0,,,,
23,4640991,202405180237,8793995,0.0,575.0,15,119,[],,24,120.0,深色,041030CAZ-24B44989,深色,['深色'],深色,False,纱架,156.0,1,0.0,575.0,,,,
47,4641037,202405150150,8789584,0.0,425.0,16,712,[],,24,120.0,浅浅,041040CAJ-24B1510014,浅色,['浅色'],浅浅,False,纱架,165.75,1,0.0,425.0,,,,
35,4641012,202405180238,8793983,505.0824983666667,1010.0824983666666,17,816,[],,24,120.0,中色,041030CAZ-24Z41569,浅色,['浅色'],浅色,True,纱架,156.0,1,505.0824983666667,1010.0824983666666,,,,
14,2216605,202405150288,8791905,0.0,170.0,26,711,[],,40,120.0,增白,091040CJ-24W11172,增白,['增白'],浅色,False,S,162.75,1,0.0,170.0,,,,
