工件,作业标识号,生产物流号,合作序号,开始时间,结束时间,所选机器,机器号,续作机器,锁定机器,机器容量,切换时间,深浅色,色号,机器常染颜色,能否荧光,轴型,优先级,生产顺序,开始时间,结束时间,锁定顺序,合作订单,合作生产物流号,合作染程用时
177,2213302,202404180194,8766734,13630.0,14055.0,21,210,[],,40,60.0,浅浅,9E2100CAJ-23H10239,浅浅,False,S,47.4,27,13630.0,14055.0,,,,
184,2213303,202404180194,8766735,14115.0,14540.0,21,210,[],,40,60.0,浅浅,9E2100CAJ-23H10240,浅浅,False,S,47.4,28,14115.0,14540.0,,,,
8,4627334,202404180045,8766481,14600.0,15025.0,21,210,[],,40,120.0,浅浅,092096CJR-24H10236,浅浅,True,纱架,46.5,29,14600.0,15025.0,,,,
30,4626504,202404250032,8777349,15145.0,15570.0,21,210,[],,40,120.0,浅浅,042100CAJ-24G220037,浅浅,True,纱架,46.5,30,15145.0,15570.0,,,,
36,4626513,202404270088,8776920,15690.0,16115.0,21,210,[],,40,120.0,浅浅,042120CAJ-24G220041,浅浅,True,纱架,46.5,31,15690.0,16115.0,,,,
113,4626602,202403310073,8751571,16235.0,16660.0,21,210,[],,40,120.0,浅浅,452120CAKR-24P10069,浅浅,False,纱架,46.5,32,16235.0,16660.0,,,,
116,4626600,202403310072,8751576,16780.0,17205.0,21,210,[],,40,120.0,浅浅,452120CAKR-24R10119,浅浅,False,纱架,46.5,33,16780.0,17205.0,,,,
151,2213471,202404230078,8771424,17325.0,17750.0,21,210,[],,40,60.0,浅浅,9E2100CAJ-23B10765,浅浅,False,S,46.5,34,17325.0,17750.0,,,,
182,2212907,202404240048,8772514,17810.0,18235.0,21,210,[],,40,60.0,浅浅,042100CAJ-20Z220126,浅浅,False,S,46.5,35,17810.0,18235.0,,,,
72,4628410,202404240224,8772720,18295.0,18720.0,21,210,[],,40,120.0,浅浅,041050CAJ-24Z42934,浅浅,False,纱架,44.7,36,18295.0,18720.0,,,,
78,4628409,202404240203,8773012,18840.0,19265.0,21,210,[],,40,120.0,浅浅,041050CAJ-24Z41051,浅浅,True,纱架,44.7,37,18840.0,19265.0,,,,
79,4628407,202404240194,8772769,19385.0,19810.0,21,210,[],,40,120.0,浅浅,041050CAJ-24Z42893,浅浅,True,纱架,44.7,38,19385.0,19810.0,,,,
81,4628759,202404250205,8774440,19930.0,20355.0,21,210,[],,40,120.0,浅浅,041050CAJ-24Z43034,浅浅,True,纱架,44.7,39,19930.0,20355.0,,,,
125,4627971,202404110089,8759769,20475.0,20900.0,21,210,[],,40,120.0,浅浅,041080CAJS-24B650206,浅浅,False,纱架,44.7,40,20475.0,20900.0,,,,
39,4626624,202403300041,8749991,21020.0,21445.0,21,210,[],,40,120.0,浅浅,961040CJX-22B10033,浅浅,True,纱架,44.4,41,21020.0,21445.0,,,,
43,4627907,202404200308,8779139,21565.0,21990.0,21,210,[],,40,120.0,浅浅,802040JX-24P10010,浅浅,True,纱架,44.4,42,21565.0,21990.0,,,,
68,4628711,202404270061,8775641,22110.0,22535.0,21,210,[],,40,120.0,浅浅,041050CAJ-24B48990,浅浅,False,纱架,44.4,43,22110.0,22535.0,,,,
80,4628757,202404250370,8774008,22655.0,23080.0,21,210,[],,40,120.0,浅浅,041050CAJ-24Z43033,浅浅,True,纱架,44.4,44,22655.0,23080.0,,,,
38,4627985,202404280030,8776644,23200.0,23625.0,21,210,[],,40,120.0,浅浅,042100CAKR-23B402151,浅浅,False,纱架,43.5,45,23200.0,23625.0,,,,
42,4626563,202403310073,8751569,23745.0,24170.0,21,210,[],,40,120.0,浅浅,151060CAJ-24P10005,浅浅,False,纱架,43.5,46,23745.0,24170.0,,,,
