工件,作业标识号,生产物流号,合作序号,开始时间,结束时间,所选机器,机器号,续作机器,锁定机器,机器容量,切换时间,深浅色,色号,机器常染颜色,能否荧光,轴型,优先级,生产顺序,开始时间,结束时间,锁定顺序,合作订单,合作生产物流号,合作染程用时
66,4627815,202405030031,8778191,0.0,425.0,69,409,['409'],,200,120.0,深色,041040CJ-19B294040,浅色,False,纱架,44.4,1,0.0,425.0,,,,
120,4626065,202404260108,8774130,0.0,425.0,70,310,['310'],,200,120.0,深色,091075CDAS-18B12438,浅色,False,纱架,47.4,1,0.0,1515.0,,"['4626065', '4627424', '4627426']","['202404260108', '202404260108', '202404260108']","[425.0, 425.0, 425.0]"
120,4627424,202404260108,8774130,545.0,970.0,70,310,['310'],,200,120.0,深色,091075CDAS-18B12438,浅色,False,纱架,47.4,2,0.0,1515.0,,"['4626065', '4627424', '4627426']","['202404260108', '202404260108', '202404260108']","[425.0, 425.0, 425.0]"
120,4627426,202404260108,8774130,1090.0,1515.0,70,310,['310'],,200,120.0,深色,091075CDAS-18B12438,浅色,False,纱架,47.4,3,0.0,1515.0,,"['4626065', '4627424', '4627426']","['202404260108', '202404260108', '202404260108']","[425.0, 425.0, 425.0]"
121,4627439,202404260109,8774185,1635.0,2060.0,70,310,"['310', '504']",,200,120.0,深色,091075CDAS-18K10229,浅色,True,纱架,47.4,4,1635.0,2605.0,,"['4627439', '4627440']","['202404260109', '202404260109']","[425.0, 425.0]"
121,4627440,202404260109,8774185,2180.0,2605.0,70,310,"['310', '504']",,200,120.0,深色,091075CDAS-18K10229,浅色,True,纱架,47.4,5,1635.0,2605.0,,"['4627439', '4627440']","['202404260109', '202404260109']","[425.0, 425.0]"
180,2213701,202404130092,8762789,0.0,425.0,71,504,['504'],,200,60.0,深色,041060CJ-19B408220,深色,True,M,47.7,1,0.0,425.0,,,,
104,4626073,202404260099,8774568,485.0,910.0,71,504,['504'],,200,120.0,深色,041040CHJ-12K68606,深色,True,纱架,47.4,2,485.0,910.0,,,,
105,4626072,202404260100,8774574,1030.0,1455.0,71,504,['504'],,200,120.0,深色,041040CHJ-20B92943,深色,True,纱架,47.4,3,1030.0,1455.0,,,,
173,2213569,202404180107,8766158,1575.0,2000.0,71,504,[],,200,60.0,深色,041040CAJ-23K45410,深色,True,M,47.4,4,1575.0,2000.0,,,,
186,2213513,202404190217,8768050,2060.0,2485.0,71,504,[],,200,60.0,深色,042080CAJ-24B46364,深色,True,M,47.4,5,2060.0,2485.0,,,,
141,2213115,202404200315,8770316,2545.0,2970.0,71,504,[],,200,60.0,深色,041020CL-24B47549,深色,True,L,45.3,6,2545.0,2970.0,,,,
62,4627450,202404260133,8774410,3030.0,3455.0,71,504,['504'],,200,120.0,深色,041040CHJ-22K400949,深色,True,纱架,44.4,7,3030.0,3455.0,,,,
60,4628580,202405040064,8778459,0.0,425.0,73,309,"['309', '406']",,240,120.0,浅色,042120CJS-22B700056,浅色,False,纱架,74.7,1,0.0,2605.0,,"['4628580', '4628582', '4628583', '4628542', '4628213']","['202405040064', '202405040064', '202405040064', '202405040064', '202405040064']","[425.0, 425.0, 425.0, 425.0, 425.0]"
60,4628582,202405040064,8778459,545.0,970.0,73,309,"['309', '406']",,240,120.0,浅色,042120CJS-22B700056,浅色,False,纱架,74.7,2,0.0,2605.0,,"['4628580', '4628582', '4628583', '4628542', '4628213']","['202405040064', '202405040064', '202405040064', '202405040064', '202405040064']","[425.0, 425.0, 425.0, 425.0, 425.0]"
60,4628583,202405040064,8778459,1090.0,1515.0,73,309,"['309', '406']",,240,120.0,浅色,042120CJS-22B700056,浅色,False,纱架,74.7,3,0.0,2605.0,,"['4628580', '4628582', '4628583', '4628542', '4628213']","['202405040064', '202405040064', '202405040064', '202405040064', '202405040064']","[425.0, 425.0, 425.0, 425.0, 425.0]"
60,4628542,202405040064,8778459,1635.0,2060.0,73,309,"['309', '406']",,240,120.0,浅色,042120CJS-22B700056,浅色,False,纱架,74.7,4,0.0,2605.0,,"['4628580', '4628582', '4628583', '4628542', '4628213']","['202405040064', '202405040064', '202405040064', '202405040064', '202405040064']","[425.0, 425.0, 425.0, 425.0, 425.0]"
60,4628213,202405040064,8778459,2180.0,2605.0,73,309,"['309', '406']",,240,120.0,浅色,042120CJS-22B700056,浅色,False,纱架,74.7,5,0.0,2605.0,,"['4628580', '4628582', '4628583', '4628542', '4628213']","['202405040064', '202405040064', '202405040064', '202405040064', '202405040064']","[425.0, 425.0, 425.0, 425.0, 425.0]"
109,4626205,202404300033,8777135,2725.0,3150.0,73,309,[],,240,120.0,浅色,041040CJ-23G40409,浅色,True,纱架,47.7,6,2725.0,3150.0,,,,
174,2213506,202404300033,8777134,3270.0,3695.0,73,309,[],,240,60.0,浅色,042040CL-23G40408,浅色,True,L,47.7,7,3270.0,3695.0,,,,
198,2213127,202405030007,8777948,3755.0,4180.0,73,309,[],,240,60.0,浅浅,041060CJ-24B42064,浅色,False,M,47.4,8,3755.0,4180.0,,,,
82,4628215,202404150062,8765109,4240.0,4665.0,73,309,['309'],,240,120.0,浅浅,032100CAJ-20B13501,浅色,False,纱架,44.7,9,4240.0,5210.0,,"['4628215', '4627881']","['202404150062', '202404150062']","[425.0, 425.0]"
82,4627881,202404150062,8765109,4785.0,5210.0,73,309,['309'],,240,120.0,浅浅,032100CAJ-20B13501,浅色,False,纱架,44.7,10,4240.0,5210.0,,"['4628215', '4627881']","['202404150062', '202404150062']","[425.0, 425.0]"
63,4628842,202404260173,8775047,5330.0,5755.0,73,309,[],,240,120.0,浅色,042010CY-24Z43216,浅色,True,纱架,43.5,11,5330.0,5755.0,,,,
90,4628234,202404270127,8775075,0.0,425.0,74,312,['312'],,240,120.0,浅浅,041060CJS-23H700003,浅色,False,纱架,74.7,1,0.0,970.0,,"['4628234', '4628235']","['202404270127', '202404270127']","[425.0, 425.0]"
90,4628235,202404270127,8775075,545.0,970.0,74,312,['312'],,240,120.0,浅浅,041060CJS-23H700003,浅色,False,纱架,74.7,2,0.0,970.0,,"['4628234', '4628235']","['202404270127', '202404270127']","[425.0, 425.0]"
110,4626206,202404300034,8777133,1090.0,1515.0,74,312,[],,240,120.0,浅浅,041040CJ-23Z40712,浅色,True,纱架,47.7,3,1090.0,1515.0,,,,
89,4628207,202405040060,8778446,0.0,425.0,75,1003,['1003'],,240,120.0,增白,042120CJS-23W650706,增白,False,纱架,74.7,1,0.0,970.0,,"['4628207', '4628208']","['202405040060', '202405040060']","[425.0, 425.0]"
89,4628208,202405040060,8778446,545.0,970.0,75,1003,['1003'],,240,120.0,增白,042120CJS-23W650706,增白,False,纱架,74.7,2,0.0,970.0,,"['4628207', '4628208']","['202405040060', '202405040060']","[425.0, 425.0]"
145,2213459,202404180186,8767113,1090.0,1515.0,75,1003,[],,240,60.0,增白,682100CAJX-18W10022,增白,False,Y,47.7,3,1090.0,1515.0,,,,
164,2213126,202403290292,8749512,1575.0,2000.0,75,1003,[],,240,60.0,增白,041060CHJ-24W400779,增白,False,M,47.7,4,1575.0,2000.0,,,,
169,2213618,202404230155,8772134,2060.0,2485.0,75,1003,[],,240,60.0,增白,041050CAJ-05W0004,增白,False,M,47.7,5,2060.0,2485.0,,,,
170,2213264,202403290288,8749508,2545.0,2970.0,75,1003,[],,240,60.0,增白,041060CHJ-24W400778,增白,False,M,47.7,6,2545.0,2970.0,,,,
175,2213396,202404110298,8761146,3030.0,3455.0,75,1003,[],,240,60.0,增白,801050J-22W10418,增白,False,M,47.7,7,3030.0,3455.0,,,,
203,2213058,202404030035,8752854,3515.0,3940.0,75,1003,[],,240,60.0,增白,041030CJ-24W400216,增白,False,L,47.7,8,3515.0,3940.0,,,,
183,2213555,202404270207,8776176,4000.0,4425.0,75,1003,[],,240,60.0,增白,041050CHJ-05W0004,增白,False,M,47.4,9,4000.0,4425.0,,,,
185,2213164,202404200064,8772488,4485.0,4910.0,75,1003,[],,240,60.0,增白,042080HJ-05W0013,增白,False,M,47.4,10,4485.0,4910.0,,,,
191,2212741,202404240157,8772351,4970.0,5395.0,75,1003,[],,240,60.0,增白,031045CJ-24W10548,增白,False,Y,47.4,11,4970.0,5395.0,,,,
193,2213568,202404160031,8765829,5455.0,5880.0,75,1003,[],,240,60.0,增白,041040CAJ-05W0002,增白,False,M,45.9,12,5455.0,5880.0,,,,
194,2213566,202404160071,8764816,5940.0,6365.0,75,1003,[],,240,60.0,增白,041040CAJ-05W0002,增白,False,M,45.9,13,5940.0,6365.0,,,,
172,2213637,202404210080,8770305,4240.0,4665.0,76,1110,[],,240,60.0,深色,042080CJ-22B42709,深色,True,M,47.4,1,4240.0,4665.0,,,,
199,2213505,202404300034,8777132,0.0,425.0,77,406,[],,240,60.0,浅浅,042040CL-23Z40711,浅色,True,L,47.7,1,0.0,425.0,,,,
195,2213129,202405030069,8778481,1575.0,2000.0,77,406,[],,240,60.0,浅浅,041060CJ-24R40495,浅色,False,Y,47.4,2,1575.0,2000.0,,,,
123,4628352,202405060096,8779218,2060.0,2485.0,77,406,[],,240,120.0,浅浅,041060CAJS-23R650196,浅色,False,纱架,40.5,3,2060.0,2485.0,,,,
106,4627828,202405040069,8778615,0.0,425.0,78,608,['608'],,240,120.0,深色,041060CAJ-23B405558,深色,False,纱架,76.5,1,0.0,425.0,,,,
147,2213613,202404060159,8758507,545.0,970.0,78,608,[],,240,60.0,深色,022090CJR-24B10311,深色,False,M,47.4,2,545.0,970.0,,,,
160,2213114,202404230130,8771537,1030.0,1455.0,78,608,[],,240,60.0,深色,041050CJ-23B405348,深色,True,L,47.4,3,1030.0,1455.0,,,,
176,2213089,202404160037,8764792,4485.0,4910.0,78,608,[],,240,60.0,深色,041040CAJ-24K40862,深色,True,M,45.9,4,4485.0,4910.0,,,,
122,4628313,202404300064,8777239,4970.0,5395.0,78,608,[],,240,120.0,深色,091100CDKS-22B11805,深色,True,纱架,43.5,5,4970.0,5395.0,,,,
107,4627833,202405040070,8778611,0.0,425.0,79,1106,['1106'],,240,120.0,增白,041060CAJ-23W220244,增白,False,纱架,76.5,1,0.0,425.0,,,,
119,4627973,202404110089,8759768,545.0,970.0,79,1106,[],,240,120.0,增白,601100CDAKS-24W10011,增白,False,纱架,44.7,2,545.0,970.0,,,,
83,4628468,202405030095,8778130,1090.0,1515.0,79,1106,[],,240,120.0,增白,032080CJ-05W0044,增白,False,纱架,44.4,3,1090.0,1515.0,,,,
