工件,作业标识号,生产物流号,合作序号,开始时间,结束时间,所选机器,机器号,续作机器,锁定机器,机器容量,切换时间,深浅色,色号,机器常染颜色1,机器常染颜色2,机器上一状态,能否荧光,轴型,优先级,生产顺序,开始时间,结束时间,锁定顺序,合作订单,合作生产物流号,合作染程用时
204,4638397,202405200021,8794685,415.0,840.0,21,210,[],,40,120.0,浅浅,041050CAJ-24Z42928,浅色,['浅色'],浅浅,False,纱架,156.0,2,415.0,840.0,,,,
31,2216556,202405090172,8784121,960.0,1360.0,21,210,[],,40,120.0,浅色,5C4100CJR-24Z10269,浅色,['浅色'],浅浅,False,S,69.25,3,960.0,1360.0,,,,
149,4632829,202405080199,8781915,0.0,425.0,22,211,[],,40,120.0,浅浅,041060CAJ-17M10778,浅色,['浅色'],浅浅,False,纱架,157.0,1,0.0,425.0,,,,
53,2216749,202405220222,8796425,545.0,930.0,22,211,[],,40,120.0,浅浅,042080CAJ-16B147224,浅色,['浅色'],浅浅,False,S,152.5,2,545.0,930.0,,,,
81,2217012,202405230067,8797609,1050.0,1475.0,22,211,[],,40,120.0,浅色,041020L-24Z44342,浅色,['浅色'],浅浅,False,L,63.25,3,1050.0,1475.0,,,,
23,2216653,202405070061,8782075,0.0,560.0,23,212,[],,40,120.0,深色,042120CJR-24B220195,深色,['深色'],深色,True,M,62.5,1,0.0,560.0,,,,
131,4635529,202404200219,8769497,12.458493666666667,372.45849366666664,24,213,[],,40,120.0,深色,1G1030CJ-24P10003,深色,['深色'],深色,True,纱架,156.0,1,12.458493666666667,372.45849366666664,,,,
34,2216752,202405080016,8783446,0.0,385.0,25,301,[],,40,120.0,浅浅,042100CAJ-24B51120,深色,['深色'],深色,False,S,162.75,1,0.0,385.0,,,,
36,2216605,202405150288,8791905,0.0,170.0,26,711,[],,40,120.0,增白,091040CJ-24W11172,增白,['增白'],浅色,False,S,159.75,1,0.0,170.0,,,,
85,2216604,202405150288,8791903,290.0,460.0,26,711,[],,40,120.0,增白,021045CJ-05W0041,增白,['增白'],浅色,False,S,159.75,2,290.0,460.0,,,,
101,2215713,202404050146,8756464,580.0,960.0,26,711,[],,40,120.0,增白,842050CJ-23W10031,增白,['增白'],浅色,False,S,159.0,3,580.0,960.0,,,,
30,2215174,202405110248,8786142,1080.0,1250.0,26,711,[],,40,120.0,增白,032090CJR-24W10537,增白,['增白'],浅色,False,S,158.25,4,1080.0,1250.0,,,,
70,2216560,202405180216,8794907,1370.0,1540.0,26,711,[],,40,120.0,增白,021045CJ-05W0041,增白,['增白'],浅色,False,S,158.25,5,1370.0,1540.0,,,,
158,4639186,202405250251,8800173,0.0,125.0,28,1007,[],,40,120.0,浅浅,452120CKR-24Z10233,深色,['深色'],浅浅,True,纱架,64.0,1,0.0,125.0,,,,
72,2215708,202404050037,8755521,0.0,380.0,29,206,[],,70,120.0,增白,842050CJ-23W10051,增白,['增白'],增白,False,M,159.0,1,0.0,380.0,,,,
157,4638372,202404210052,8779878,500.0,670.0,29,206,[],,70,120.0,增白,151060CAJ-23W10028,增白,['增白'],增白,False,纱架,156.0,2,500.0,670.0,,,,
138,4636027,202405220035,8795574,790.0,915.0,29,206,[],,70,120.0,增白,452020CK-23W11692,增白,['增白'],增白,False,纱架,72.85,3,790.0,915.0,,,,
44,2216658,202405100237,8785407,1035.0,1185.0,29,206,[],,70,120.0,增白,9E2100CAJR-23W10691,增白,['增白'],增白,False,S,64.0,4,1035.0,1185.0,,,,
200,4639196,202405290177,8800787,1305.0,1485.0,29,206,[],,70,120.0,增白,042076CAJ-21W404407,增白,['增白'],增白,False,纱架,62.5,5,1305.0,1485.0,,,,
211,4638923,202405200012,8798471,1605.0,1785.0,29,206,[],,70,120.0,增白,041060CAJ-05W0004,增白,['增白'],增白,False,纱架,61.75,6,1605.0,1785.0,,,,
151,4639198,202405290119,8800869,1905.0,2085.0,29,206,[],,70,120.0,增白,041060CJ-05W0004,增白,['增白'],增白,False,纱架,53.5,7,1905.0,2085.0,,,,
84,2216842,202405240017,8797346,42.82516033333333,507.8251603333333,30,207,[],,70,120.0,深色,041050HJ-23G400608,深色,['深色'],深色,False,S,157.5,1,42.82516033333333,507.8251603333333,,,,
117,2216706,202404270257,8776394,627.8251603333333,1197.8251603333333,30,207,[],,70,120.0,深色,041040CL-15B105409,深色,['深色'],深色,True,M,103.5,2,627.8251603333333,1197.8251603333333,,,,
6,2216659,202405080234,8783509,122.291827,692.291827,31,208,[],,70,120.0,深色,041050CZ-20B220644,深色,['深色'],深色,False,S,157.0,1,122.291827,692.291827,,,,
110,4638729,202405080203,8782705,812.291827,1237.291827,31,208,[],,70,120.0,中色,042100CAJ-24B43557,深色,['深色'],深色,True,纱架,109.25,2,812.291827,1237.291827,,,,
126,4638373,202404210052,8779879,0.0,475.0,32,304,[],,70,120.0,浅色,151060CAJ-23B10034,浅色,['浅色'],中色,False,纱架,156.0,1,0.0,475.0,,,,
64,4636216,202405090223,8794821,595.0,1020.0,32,304,[],,70,120.0,浅色,122080CJRX-24Y10063,浅色,['浅色'],中色,True,纱架,109.25,2,595.0,1020.0,,,,
33,4638438,202404210052,8779881,1140.0,1265.0,32,304,[],,70,120.0,浅色,452120CAKR-23B11106,浅色,['浅色'],中色,False,纱架,108.5,3,1140.0,1265.0,,,,
112,4639232,202404270027,8775553,1385.0,1785.0,32,304,[],,70,120.0,浅浅,051016CA-23B11068,浅色,['浅色'],中色,True,纱架,85.75,4,1385.0,1785.0,,,,
98,2216674,202405220170,8797173,1905.0,2370.0,32,304,[],,70,120.0,中色,042100CAJ-19B410814,浅色,['浅色'],中色,False,M,64.75,5,1905.0,2370.0,,,,
108,4634377,202405080185,8782703,0.0,405.0,33,305,[],,70,120.0,浅浅,223022CDA-24G10004,浅浅,['浅浅'],浅浅,False,蚕丝架,158.25,1,0.0,405.0,,,,
141,4637589,202405250152,8798284,585.0,1010.0,33,305,[],,70,120.0,浅浅,041060CAJ-13R260119,浅浅,['浅浅'],浅浅,False,纱架,157.5,2,585.0,1010.0,,,,
185,4638221,202405210062,8795297,1130.0,1555.0,33,305,[],,70,120.0,浅浅,041060CAJ-24B46480,浅浅,['浅浅'],浅浅,False,纱架,155.25,3,1130.0,1555.0,,,,
119,4637930,202405100141,8788307,1675.0,2025.0,33,305,[],,70,120.0,浅浅,0G1040CAKX-23B10496,浅浅,['浅浅'],浅浅,False,纱架,111.5,4,1675.0,2025.0,,,,
179,4638915,202405200007,8798451,0.0,465.0,34,508,[],,70,120.0,中色,041060AJ-24B46458,浅色,['浅色'],浅浅,True,纱架,106.25,1,0.0,465.0,,,,
133,4634911,202405080129,8781626,585.0,1010.0,34,508,[],,70,120.0,浅浅,041050CJ-23M400016,浅色,['浅色'],浅浅,True,纱架,100.5,2,585.0,1010.0,,,,
209,2216557,202405090173,8784126,1130.0,1280.0,34,508,[],,70,120.0,中色,5C4100CJR-24H10182,浅色,['浅色'],浅浅,True,S,69.25,3,1130.0,1280.0,,,,
176,4639188,202405250251,8800172,1400.0,1525.0,34,508,[],,70,120.0,浅浅,452120CKR-24K10133,浅色,['浅色'],浅浅,True,纱架,64.0,4,1400.0,1525.0,,,,
90,4638883,202405190093,8794482,1645.0,2070.0,34,508,[],,70,120.0,浅浅,041050CAJ-24H400475,浅色,['浅色'],浅浅,False,纱架,61.75,5,1645.0,2070.0,,,,
50,2216326,202405150166,8789368,0.0,140.0,35,606,[],,70,120.0,增白,042100CJ-15W71297,增白,['增白'],,False,S,161.25,1,0.0,140.0,,,,
88,2216406,202405220162,8796123,260.0,400.0,35,606,[],,70,120.0,增白,042100CAJ-22W220098,增白,['增白'],,False,M,158.25,2,260.0,400.0,,,,
26,2216843,202405240017,8797345,520.0,660.0,35,606,[],,70,120.0,增白,041050HJ-23W402299,增白,['增白'],,False,S,157.5,3,520.0,660.0,,,,
205,4638420,202405250234,8798755,780.0,950.0,35,606,[],,70,120.0,增白,811060CJX-23W10313,增白,['增白'],,False,纱架,156.0,4,780.0,950.0,,,,
152,4638436,202404210052,8779880,1070.0,1195.0,35,606,[],,70,120.0,增白,452120CAKR-23W10870,增白,['增白'],,False,纱架,64.0,5,1070.0,1195.0,,,,
94,2216933,202405100134,8784221,1315.0,1465.0,35,606,[],,70,120.0,增白,801050CJ-23W10436,增白,['增白'],,False,S,63.25,6,1315.0,1465.0,,,,
184,4638996,202405170161,8792249,1585.0,1835.0,35,606,[],,70,120.0,增白,091050CDL-22W11568,增白,['增白'],,False,纱架,61.75,7,1585.0,1835.0,,,,
167,4638211,202405210056,8795267,0.0,560.0,36,701,[],,70,120.0,深色,041060CAJ-24B46461,深色,['深色'],深色,True,纱架,155.25,1,0.0,560.0,,,,
96,2216753,202405080016,8783447,0.0,580.0,37,702,[],,70,120.0,深色,042100CAJ-24B51121,深色,['深色'],深色,False,S,69.25,1,0.0,580.0,,,,
113,2216654,202405070061,8782076,700.0,1165.0,37,702,[],,70,120.0,中色,042120CJR-24G220051,深色,['深色'],深色,True,M,62.5,2,700.0,1165.0,,,,
106,4638910,202405200005,8798443,0.0,465.0,38,707,[],,70,120.0,中色,041060AJ-24B46457,浅色,['浅色'],深色,True,纱架,106.25,1,0.0,465.0,,,,
146,4638921,202405200010,8798463,585.0,745.0,38,707,[],,70,120.0,浅浅,041060CAJ-05W0027,浅色,['浅色'],深色,True,纱架,106.25,2,585.0,745.0,,,,
103,2216673,202405220170,8797172,865.0,1250.0,38,707,[],,70,120.0,浅浅,042100CAJ-19B410813,浅色,['浅色'],深色,False,M,64.75,3,865.0,1250.0,,,,
137,4638797,202405180280,8793786,1370.0,1530.0,38,707,[],,70,120.0,浅浅,552080CHKR-19W10026,浅色,['浅色'],深色,False,纱架,63.25,4,1370.0,1530.0,,,,
45,2216652,202405070061,8782074,1650.0,2035.0,38,707,[],,70,120.0,浅色,042120CJR-24Y220032,浅色,['浅色'],深色,True,M,62.5,5,1650.0,2035.0,,,,
199,4638351,202405230063,8797596,0.0,565.0,39,817,[],,70,120.0,深色,041020L-24G42985,深色,['深色'],浅色,False,纱架,156.75,1,0.0,565.0,,,,
24,2216751,202405250273,8799056,0.0,465.0,40,910,[],,70,120.0,中色,042080CHJ-21B220624,深色,['深色'],深色,False,S,64.75,1,0.0,465.0,,,,
183,4638350,202405230063,8797595,585.0,1115.0,41,913,[],,70,120.0,深色,041020L-24B53539,深色,['深色'],深色,False,纱架,63.25,1,585.0,1115.0,,,,
194,4635846,202405180134,8793407,0.0,180.0,42,507,[],,90,120.0,增白,041040CHJ-24W401214,增白,['增白'],浅浅,False,纱架,162.75,1,0.0,180.0,,,,
171,4638674,202404120172,8799457,300.0,425.0,42,507,[],,90,120.0,增白,0G2100CAKR-24W10077,增白,['增白'],浅浅,False,纱架,159.75,2,300.0,425.0,,,,
57,2215690,202404250181,8773441,545.0,685.0,42,507,[],,90,120.0,增白,041060CAJ-05W0004,增白,['增白'],浅浅,False,S,156.75,3,545.0,685.0,,,,
170,4639166,202404120172,8799457,805.0,985.0,42,507,[],,90,120.0,增白,0G2100CAKR-24W10077,增白,['增白'],浅浅,False,纱架,66.25,4,805.0,985.0,,,,
162,4639135,202405280058,8800263,1105.0,1315.0,42,507,[],,90,120.0,增白,021045CJ-05W0041,增白,['增白'],浅浅,False,纱架,65.5,5,1105.0,1315.0,,,,
14,2216932,202404120172,8799455,1435.0,1575.0,42,507,[],,90,120.0,增白,042120CAJ-05W0013,增白,['增白'],浅浅,False,S,64.75,6,1435.0,1575.0,,,,
213,4638425,202405260033,8799326,1695.0,1865.0,42,507,[],,90,120.0,增白,042230AJR-23W48753,增白,['增白'],浅浅,False,纱架,61.75,7,1695.0,1865.0,,,,
76,2216750,202405220222,8796424,1985.0,2125.0,42,507,[],,90,120.0,增白,042080CAJ-05W0012,增白,['增白'],浅浅,False,S,59.0,8,1985.0,2125.0,,,,
175,4638974,202405210138,8795244,2245.0,2425.0,42,507,[],,90,120.0,增白,041050CAK-23W401191,增白,['增白'],浅浅,False,纱架,57.5,9,2245.0,2425.0,,,,
198,4634920,202405080203,8782706,0.0,405.0,43,708,[],,90,120.0,浅浅,223022CDA-24B10029,浅浅,['浅浅'],浅浅,True,蚕丝架,158.25,1,0.0,405.0,,,,
118,4638781,202405220071,8796144,545.0,970.0,43,708,[],,90,120.0,浅浅,041050AK-24R400360,浅浅,['浅浅'],浅浅,False,纱架,64.0,2,545.0,970.0,,,,
197,4639170,202405280024,8800451,1090.0,1495.0,43,708,[],,90,120.0,浅浅,223022CDA-24Z10035,浅浅,['浅浅'],浅浅,True,纱架,63.25,3,1090.0,1495.0,,,,
150,4636805,202405220015,8795715,300.0,650.0,44,710,[],,90,120.0,浅浅,032100CAJ-18P10026,浅浅,['浅浅'],浅浅,True,纱架,156.75,1,300.0,650.0,,,,
189,4638777,202405280056,8799975,770.0,1175.0,44,710,[],,90,120.0,浅浅,223022CDA-24H10049,浅浅,['浅浅'],浅浅,True,纱架,64.75,2,770.0,1175.0,,,,
164,4639172,202405290026,8800431,1295.0,1625.0,44,710,[],,90,120.0,浅浅,021045CJ-21B10767,浅浅,['浅浅'],浅浅,False,纱架,62.5,3,1295.0,1625.0,,,,
74,4634759,202405110369,8786498,0.0,405.0,45,1011,[],,90,120.0,深色,223022CDA-23B10502,深色,['深色'],浅浅,True,纱架,163.35,1,0.0,405.0,,,,
148,4638861,202405250282,8799922,525.0,950.0,45,1011,[],,90,120.0,浅色,451050CK-23B13915,深色,['深色'],浅浅,False,纱架,63.25,2,525.0,950.0,,,,
129,4638202,202405240127,8798029,0.0,505.0,46,1012,[],,90,120.0,深色,041060CAJ-15K150456,深色,['深色'],深色,True,纱架,157.5,1,0.0,505.0,,,,
114,2216555,202405090172,8784120,78.75849366666667,478.75849366666665,47,203,[],,140,120.0,中色,5C4100CJR-24B10651,浅色,['浅色'],浅浅,False,Y,69.25,1,78.75849366666667,478.75849366666665,,,,
20,2217008,202405230064,8797600,598.7584936666667,1103.7584936666667,47,203,[],,140,120.0,中色,041020L-24H43420,浅色,['浅色'],浅浅,False,L,63.25,2,598.7584936666667,1103.7584936666667,,,,
86,2216138,202405140109,8788354,27.058493666666667,167.05849366666666,48,204,['204'],,140,120.0,增白,041060CJ-05W0004,浅色,['浅色'],增白,False,S,162.75,1,27.058493666666667,167.05849366666666,,,,
144,4636149,202405220168,8796131,287.05849366666666,692.0584936666667,48,204,[],,140,120.0,浅浅,223022CDA-23H10229,浅色,['浅色'],增白,False,纱架,158.25,2,287.05849366666666,692.0584936666667,,,,
27,2216650,202405070008,8785144,812.0584936666667,952.0584936666667,48,204,['204'],,140,120.0,增白,041060CJ-05W0004,浅色,['浅色'],增白,False,L,156.0,3,812.0584936666667,952.0584936666667,,,,
186,4639187,202405250251,8800170,1072.0584936666667,1197.0584936666667,48,204,[],,140,120.0,浅浅,452120CKR-24Z10234,浅色,['浅色'],增白,True,纱架,64.0,4,1072.0584936666667,1197.0584936666667,,,,
187,4639176,202405280106,8800211,1317.0584936666667,1792.0584936666667,48,204,[],,140,120.0,浅浅,042080CJ-14B17629,浅色,['浅色'],增白,False,纱架,62.5,5,1317.0584936666667,1792.0584936666667,,,,
134,4639003,202405180254,8798130,0.0,125.0,50,302,[],,140,120.0,中色,091050CDL-24B10370,深色,['深色'],深色,True,纱架,61.75,1,0.0,125.0,,,,
154,4637586,202405250071,8798142,245.0,720.0,50,302,[],,140,120.0,浅浅,041040CJ-15B19893,深色,['深色'],深色,False,纱架,157.5,2,245.0,720.0,,,,
92,2216639,202405060082,8779552,0.0,560.0,51,303,[],,140,120.0,深色,041050HJ-24R400084,深色,['深色'],深色,False,S,67.75,1,0.0,560.0,,,,
153,4638644,202405240134,8799789,0.0,425.0,52,609,[],,140,120.0,浅浅,261050CAJ-24H10020,浅色,['浅色'],深色,False,纱架,155.25,1,0.0,425.0,,,,
210,4636994,202405210146,8795351,545.0,645.0,52,609,['609'],,140,120.0,浅浅,091050CDK-24W10468,浅色,['浅色'],深色,True,纱架,64.75,2,545.0,645.0,,,,
4,2217004,202405230063,8797591,0.0,575.0,53,610,[],,140,120.0,深色,041020L-24B53539,深色,['深色'],深色,False,L,63.25,1,0.0,575.0,,,,
107,2217022,202405230068,8797630,695.0,1270.0,53,610,[],,140,120.0,深色,041020L-24B53544,深色,['深色'],深色,False,L,63.25,2,695.0,1270.0,,,,
77,2216939,202405080243,8785517,1390.0,1855.0,53,610,['610'],,140,120.0,中色,041060CAJ-14B102920,深色,['深色'],深色,False,M,59.75,3,1390.0,1855.0,,,,
208,2216640,202405060083,8779555,0.0,505.0,54,611,[],,140,120.0,深色,041050HJ-24K400051,深色,['深色'],深色,False,S,67.75,1,0.0,505.0,,,,
21,2216424,202405160189,8792018,0.0,140.0,55,612,['612'],,140,120.0,增白,041050CAJ-05W0004,增白,['增白'],增白,False,S,158.25,1,0.0,140.0,,,,
71,2216708,202405250118,8798152,260.0,400.0,55,612,['612'],,140,120.0,增白,041040CA-21W51630,增白,['增白'],增白,False,S,158.25,2,260.0,400.0,,,,
95,2216638,202405170024,8792014,520.0,660.0,55,612,['612'],,140,120.0,增白,041040CAJ-05W0004,增白,['增白'],增白,False,S,158.25,3,520.0,660.0,,,,
40,2216367,202405080199,8781912,780.0,920.0,55,612,['612'],,140,120.0,增白,041060CAJ-05W0003,增白,['增白'],增白,False,S,157.0,4,780.0,920.0,,,,
63,2216947,202405280120,8800323,1040.0,1180.0,55,612,['612'],,140,120.0,增白,042100CAJ-05W0013,增白,['增白'],增白,False,Y,84.25,5,1040.0,1180.0,,,,
169,4639041,202405090283,8784020,0.0,425.0,56,308,['308'],,180,120.0,中色,041016CAK-24B51838,浅色,['浅色'],浅色,True,纱架,164.25,1,0.0,425.0,,,,
102,2216783,202405250208,8798622,0.0,465.0,57,405,[],,180,120.0,深色,041040CHJ-24B50553,深色,['深色'],深色,False,S,64.75,1,0.0,465.0,,,,
174,4639177,202405280107,8800209,0.0,475.0,58,407,[],,180,120.0,浅浅,042080CJ-14B17627,浅色,['浅色'],浅色,False,纱架,62.5,1,0.0,475.0,,,,
111,4638291,202405250289,8799037,12.541827000000001,137.541827,60,1107,[],,180,120.0,深色,1G2080CAKR-23K10038,深色,['深色'],深色,True,纱架,61.0,1,12.541827000000001,137.541827,,,,
132,4635847,202405150192,8789323,0.0,425.0,61,505,['505'],,180,120.0,浅浅,191060CAJS-22B10060,浅色,['浅色'],中色,True,纱架,106.5,1,0.0,425.0,,,,
122,4639059,202405060105,8800779,0.0,180.0,62,501,[],,180,120.0,浅浅,042100CAJ-24W220201,浅色,['浅色'],浅浅,False,纱架,163.35,1,0.0,180.0,,,,
202,4638293,202405220065,8795425,300.0,775.0,62,501,['501'],,180,120.0,浅浅,041040CAJS-18B419770,浅色,['浅色'],浅浅,True,纱架,151.75,2,300.0,775.0,,,,
19,2216877,202405250252,8799060,895.0,1035.0,62,501,['501'],,180,120.0,增白,042080CHJ-05W0012,浅色,['浅色'],浅浅,False,S,64.75,3,895.0,1035.0,,,,
207,2216543,202405160152,8793817,0.0,140.0,63,605,[],,180,120.0,增白,041040CAJ-24W400878,增白,['增白'],深色,False,M,158.25,1,0.0,140.0,,,,
68,2217050,202405060083,8779554,260.0,450.0,63,605,[],,180,120.0,增白,041030HJ-24W400273,增白,['增白'],深色,False,M,67.75,2,260.0,450.0,,,,
214,4639136,202405280100,8800584,570.0,770.0,63,605,['605'],,180,120.0,增白,041030CHJ-05W0004,增白,['增白'],深色,False,纱架,65.5,3,570.0,770.0,,,,
5,2216872,202405190013,8794035,890.0,1030.0,63,605,['605'],,180,120.0,增白,042080HJ-13W72419,增白,['增白'],深色,False,S,64.75,4,890.0,1030.0,,,,
47,2216736,202405250152,8798283,1150.0,1290.0,63,605,['605'],,180,120.0,增白,042120CAJ-05W0012,增白,['增白'],深色,False,S,64.0,5,1150.0,1290.0,,,,
115,2216782,202405250071,8798141,1410.0,1550.0,63,605,[],,180,120.0,增白,041040CJ-05W0003,增白,['增白'],深色,False,S,64.0,6,1410.0,1550.0,,,,
136,2216743,202405080233,8782731,1670.0,1810.0,63,605,['605'],,180,120.0,增白,041050CAJ-05W0004,增白,['增白'],深色,False,S,63.5,7,1670.0,1810.0,,,,
49,2217030,202405160119,8791222,1930.0,2070.0,63,605,['605'],,180,120.0,增白,041040CHJ-05W0004,增白,['增白'],深色,False,S,62.0,8,1930.0,2070.0,,,,
