工件,作业标识号,生产物流号,合作序号,开始时间,结束时间,所选机器,机器号,续作机器,锁定机器,机器容量,切换时间,深浅色,色号,机器常染颜色1,机器常染颜色2,机器上一状态,能否荧光,轴型,优先级,生产顺序,开始时间,结束时间,锁定顺序,合作订单,合作生产物流号,合作染程用时
201,4633257,202405080016,8783455,0.0,170.0,0,514,[],,3,120.0,增白,451100CAK-24W10866,深色,['深色'],,False,纱架,165.75,1,0.0,170.0,,,,
125,4636208,202405220098,8795828,290.0,640.0,0,514,[],,3,120.0,浅浅,4Q2050CJ-23B10053,深色,['深色'],,True,纱架,157.5,2,290.0,640.0,,,,
147,4638175,202405220069,8796134,0.0,425.0,1,515,[],,3,120.0,浅浅,042100AJ-24G400312,深色,['深色'],,False,纱架,157.5,1,0.0,425.0,,,,
193,4638953,202405170160,8794283,545.0,1105.0,1,515,[],,3,120.0,深色,041050CAJ-22B63256,深色,['深色'],,True,纱架,154.5,2,545.0,1105.0,,,,
190,4639234,202404270334,8776263,0.0,125.0,4,907,[],,6,120.0,中色,042100CAKR-24R220026,浅色,['浅色'],中色,False,纱架,69.35,1,0.0,125.0,,,,
163,4638692,202405250059,8799890,245.0,670.0,4,907,[],,6,120.0,浅色,9E2100CAJ-24G10112,浅色,['浅色'],中色,True,纱架,59.5,2,245.0,670.0,,,,
166,4638862,202405250282,8799924,0.0,465.0,5,908,[],,6,120.0,中色,451050CK-23G10673,深色,['深色'],浅浅,False,纱架,63.25,1,0.0,465.0,,,,
196,4636985,202405060210,8788320,0.0,330.0,6,815,[],,10,120.0,深色,1E4100CKR-24Z10042,深色,['深色'],,True,纱架,164.85,1,0.0,330.0,,,,
142,4638424,202405260033,8799325,450.0,995.0,6,815,[],,10,120.0,深色,042200AJR-23B83605,深色,['深色'],,False,纱架,63.25,2,450.0,995.0,,,,
165,4638866,202405250282,8799925,1115.0,1540.0,6,815,[],,10,120.0,浅浅,451050CK-23B13917,深色,['深色'],,False,纱架,63.25,3,1115.0,1540.0,,,,
178,4638686,202405250059,8799885,1660.0,2085.0,6,815,[],,10,120.0,浅浅,9E2100CAJ-24Z10114,深色,['深色'],,True,纱架,61.0,4,1660.0,2085.0,,,,
128,4639037,202404090096,8761141,0.0,125.0,7,509,[],,10,120.0,中色,1E2080CAKR-24H10040,深色,['深色'],浅浅,False,纱架,164.85,1,0.0,125.0,,,,
212,4639239,202405160201,8791301,245.0,805.0,7,509,[],,10,120.0,深色,042080CHJ-23B71623,深色,['深色'],浅浅,True,纱架,72.25,2,245.0,805.0,,,,
127,4639205,202404090096,8761141,925.0,1255.0,7,509,[],,10,120.0,中色,1E2080CAKR-24H10040,深色,['深色'],浅浅,False,纱架,71.35,3,925.0,1255.0,,,,
140,4638331,202405250240,8798810,1375.0,1840.0,7,509,[],,10,120.0,深色,451050CK-23R10732,深色,['深色'],浅浅,True,纱架,63.25,4,1375.0,1840.0,,,,
155,4636984,202405060210,8788319,0.0,360.0,8,603,[],,10,120.0,深色,1E4100CKR-24K10009,深色,['深色'],深色,True,纱架,164.85,1,0.0,360.0,,,,
58,2217097,202405240067,8797578,480.0,865.0,8,603,[],,10,120.0,浅浅,041060CAJ-24Z44066,深色,['深色'],深色,False,S,64.0,2,480.0,865.0,,,,
180,4639185,202405250251,8800171,985.0,1110.0,8,603,[],,10,120.0,浅浅,452120CKR-24R10183,深色,['深色'],深色,True,纱架,64.0,3,985.0,1110.0,,,,
143,4639233,202405190012,8794034,0.0,475.0,9,613,[],,10,120.0,浅色,041050HJ-13B90381,浅色,['浅色'],,False,纱架,67.75,1,0.0,475.0,,,,
145,4638330,202405250240,8798808,595.0,1155.0,9,613,[],,10,120.0,中色,451050CK-23B13890,浅色,['浅色'],,True,纱架,63.25,2,595.0,1155.0,,,,
25,2216548,202405180134,8793405,0.0,140.0,10,704,[],,10,120.0,增白,041040CHJ-24W401213,增白,['增白'],浅浅,False,S,69.25,1,0.0,140.0,,,,
69,2216546,202405180133,8793402,260.0,400.0,10,704,[],,10,120.0,增白,041040CHJ-24W401211,增白,['增白'],浅浅,False,S,69.25,2,260.0,400.0,,,,
75,4639235,202405180120,8792746,0.0,475.0,11,115,[],,24,120.0,浅浅,042080CAJS-24B650333,浅色,['浅色'],中色,True,纱架,70.75,1,0.0,475.0,,,,
160,4639213,202405280029,8800314,595.0,720.0,11,115,[],,24,120.0,浅浅,0G1040CAKX-23B10509,浅色,['浅色'],中色,False,纱架,64.0,2,595.0,720.0,,,,
83,4638887,202405200006,8798446,840.0,1400.0,11,115,[],,24,120.0,浅色,042100CAJ-24Y400265,浅色,['浅色'],中色,True,纱架,63.25,3,840.0,1400.0,,,,
156,4639215,202405280029,8800311,0.0,425.0,12,116,[],,24,120.0,浅浅,961040CAJX-23B10110,浅色,['浅色'],浅浅,False,纱架,64.0,1,0.0,425.0,,,,
130,4637635,202405200047,8797983,545.0,945.0,12,116,[],,24,120.0,浅色,042100CAJ-24B220205,浅色,['浅色'],浅浅,True,纱架,63.25,2,545.0,945.0,,,,
206,4638355,202405230064,8797605,1065.0,1530.0,12,116,[],,24,120.0,浅浅,041020L-24H43421,浅色,['浅色'],浅浅,False,纱架,63.25,3,1065.0,1530.0,,,,
192,4637636,202405200047,8797982,0.0,465.0,13,117,[],,24,120.0,深色,042100CAJ-24Z220045,深色,['深色'],深色,True,纱架,63.25,1,0.0,465.0,,,,
172,4635794,202405180237,8793990,0.0,180.0,14,118,[],,24,120.0,增白,041040CAZ-05W0002,增白,['增白'],浅色,False,纱架,156.75,1,0.0,180.0,,,,
159,4638949,202405170160,8794287,250.4084936666667,715.4084936666667,15,119,[],,24,120.0,中色,041050CAJ-22B63254,深色,['深色'],深色,True,纱架,153.0,1,250.4084936666667,715.4084936666667,,,,
105,4638897,202404050075,8763490,0.0,425.0,16,712,[],,24,120.0,浅色,6M2050CJX-23H10103,浅色,['浅色'],浅浅,True,纱架,166.35,1,0.0,425.0,,,,
195,4639216,202405280029,8800313,545.0,970.0,16,712,[],,24,120.0,浅浅,961040CAJX-23B10111,浅色,['浅色'],浅浅,False,纱架,64.0,2,545.0,970.0,,,,
78,4637655,202405200045,8797944,0.0,425.0,17,816,[],,24,120.0,浅色,041050CAZ-24Z42114,浅色,['浅色'],,True,纱架,155.25,1,0.0,425.0,,,,
177,4639212,202405280029,8800315,545.0,670.0,17,816,[],,24,120.0,浅浅,0G1040CAKX-23W10363,浅色,['浅色'],,False,纱架,64.0,2,545.0,670.0,,,,
191,4639151,202405170099,8800381,0.0,505.0,18,1013,[],,24,120.0,深色,122064CAJRX-23K10158,深色,['深色'],深色,True,纱架,64.75,1,0.0,505.0,,,,
168,4634508,202405130048,8789618,0.0,160.0,20,209,[],,40,120.0,浅浅,801030CJX-22W10124,浅色,['浅色'],浅色,True,纱架,153.0,1,0.0,160.0,,,,
17,2217024,202405230068,8797631,280.0,705.0,20,209,[],,40,120.0,浅色,041020L-24B53545,浅色,['浅色'],浅色,False,L,63.25,2,280.0,705.0,,,,
42,2217006,202405230063,8797593,825.0,1250.0,20,209,[],,40,120.0,浅浅,041020L-24B53540,浅色,['浅色'],浅色,False,L,63.25,3,825.0,1250.0,,,,
203,4638298,202403230195,8741737,0.0,295.0,21,210,[],,40,120.0,中色,0Q2050CJX-24B10010,浅色,['浅色'],浅浅,False,纱架,164.85,1,0.0,295.0,,,,
